iter   dir1   dir2   dir3   NR1   NR2   NR3   sec1   sec2   sec3   
    1  -1.0749999523162841        1.1499999523162843        2.9250000476837155       -1.0500421091422838       0.98552279544015819        3.1040684804007808       -1.0639618017405952       0.97685951202523480        3.0635838201405035     
    2  -1.0374999523162840        1.0749999523162841        2.9625000476837156       -1.0017746138990853        1.0000015173732033        3.0072441981273066       -1.0150708026989721        1.0009063491526677        2.9896620547703043     
    3  -1.0187499523162842        1.0374999523162840        2.9812500476837158       -1.0000023570609524        1.0000000000000000        3.0000390289773402       -1.0006910706315735       0.99999988340381984        2.9995219305967149     
    4  -1.0093749523162843        1.0187499523162842        2.9906250476837157       -1.0000000000041669        1.0000000000000000        3.0000000011423937       -1.0000077400334648        1.0000000000000240        3.0000037302168590     
    5  -1.0046874523162841        1.0093749523162843        2.9953125476837155       -1.0000000000000000        1.0000000000000000        2.9999999999999996       -1.0000000040100478        1.0000000000000000        2.9999999986621524     
    6  -1.0023437023162840        1.0046874523162841        2.9976562976837156       -1.0000000000000000        1.0000000000000000        3.0000000000000000       -1.0000000000000233        1.0000000000000000        2.9999999999999964     
