 Planeta  V0 (UA/ano)  T^2/R^3
Mercúrio              10.061148632539163       0.99954904836561653     
Vênus                 7.4048048969306102       0.99986821094821676     
Terra                  6.2831853071795862        1.0000000000000000     
Marte                  5.0963362487929960        1.0000193632453711     
Júpiter               2.7553590302269777       0.99999588103095127     
Saturno                2.0670162113025627       0.99999513545012908     
Urano                  1.4343078687082953       0.99999841348486274     
Netuno                 1.1460020123254901       0.99999922399902785     
Plutão               0.99934734082975973       0.99999980015105683     
